"","osm_id","name","addr:city","addr:street","amenity","description","designation","operator","short_name","townhall:type","geometry"
"3832043658","3832043658",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.1813323, 9.9333693)
"3832043659","3832043659",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.181002, 9.9334352)
"3832043660","3832043660",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.181037, 9.9329849)
"3839500935","3839500935",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.0648039, 9.898659)
"3839500937","3839500937",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.0650612, 9.8984971)
"3839500938","3839500938",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.0649195, 9.8987279)
"3839523443","3839523443",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.0655509, 9.8987799)
"3839523445","3839523445",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.065322, 9.8991696)
"3839523446","3839523446",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.0648396, 9.8988947)
"3841405200","3841405200",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-85.4385905, 10.6304302)
"3841501393","3841501393",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-85.4387417, 10.6307375)
"3850658765","3850658765",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-85.6344269, 11.0739979)
"3850658766","3850658766",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-85.6344014, 11.074121)
"3850658767","3850658767",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-85.6344169, 11.0741276)
"3850658768","3850658768",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-85.6343936, 11.0742104)
"3850658769","3850658769",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-85.6345446, 11.0742409)
"3850658770","3850658770",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-85.6345746, 11.0741112)
"3850658771","3850658771",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-85.634488, 11.0740927)
"3850658772","3850658772",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-85.634508, 11.0740131)
"3850658773","3850658773",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-85.6344352, 11.0742188)
"3850658835","3850658835","Municipalidad de La Cruz","La Cruz",NA,"townhall",NA,NA,NA,NA,NA,c(-85.6344759, 11.0741223)
"3859787039","3859787039",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-83.9386754, 9.8454635)
"3859787044","3859787044",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-83.9387662, 9.8450571)
"3859787047","3859787047",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-83.9388413, 9.8456218)
"3859787048","3859787048",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-83.9388653, 9.8455871)
"3859787049","3859787049",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-83.9389961, 9.8451496)
"3882127358","3882127358",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.2136526, 10.3462373)
"3882127359","3882127359",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.2135983, 10.3463095)
"3882127360","3882127360",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.2134377, 10.3461925)
"3882127361","3882127361",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.213492, 10.3461204)
"3929487024","3929487024",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.1812538, 9.9330013)
"3929487025","3929487025",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.1812361, 9.9332286)
"3929487026","3929487026",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.1813427, 9.9332367)
"3931070045","3931070045",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.823935, 10.3179034)
"3931070046","3931070046",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.8238125, 10.317774)
"3931070047","3931070047",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.8237083, 10.3178694)
"3931070048","3931070048",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.8238308, 10.3179988)
"3931438344","3931438344",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.9585187, 10.2805507)
"3931438345","3931438345",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.9583595, 10.2804528)
"3931438346","3931438346",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.9583058, 10.2805372)
"3931438347","3931438347",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.958465, 10.2806352)
"3934385512","3934385512",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-85.2552904, 10.526298)
